Designator,Footprint,Quantity,Value,LCSC Part #
"D0, D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D6, D7, D8, D9",Diode_SMD,50,D,
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L3, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L4, L40, L41, L42, L43, L44, L45, L46, L5, L6, L7, L8, L9",LED_SK6812MINI-E_BL,46,SK6812MINI,
"SW1, SW10, SW11, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW44, SW45, SW5, SW6, SW7, SW8, SW9",CherryMX_Hotswap_1u,38,SW_PUSH,
"SW12, SW2, SW35, SW47",CherryMX_Hotswap_1.25u,4,SW_PUSH,
SW22,CherryMX_Hotswap_6.25u_Rev,1,SW_PUSH,
"SW3, SW48",CherryMX_Hotswap_1.75u,2,SW_PUSH,
"SW4, SW43, SW49",SW_Cherry_MX_1.00u_Kailh_EC12,3,RotaryEncoder_Switch,
SW46,CherryMX_Hotswap_1.5u,1,SW_PUSH,
U1,rp2040-zero(pattern only),1,rp2040-zero,
